outcome_weights,age_months,color_weights,breed_weights,gender_weights,fixed_weights
2,2.102712581367174,11,2,2,2
2,180.110474547732,15,4,1,1
2,97.90755456990904,6,6,2,2
2,84.00993860243537,9,4,1,2
2,90.2195116942853,14,2,2,2
2,36.63319575350623,3,6,2,2
2,41.988541859175754,4,9,1,1
2,72.08361567999343,14,4,1,2
2,1.051356290683587,9,9,2,1
2,12.419146183699871,14,6,1,2
2,14.423294112815459,18,9,2,2
2,38.9987474075443,6,2,2,2
2,1.8398735086962772,17,5,2,2
2,2.6283907267089672,18,9,2,2
2,2.069857697283312,5,9,1,2
2,24.70687283106429,3,2,1,2
2,7.096654962114211,3,6,1,2
2,10.480708022752006,17,5,1,2
2,2.234132117702622,11,2,1,2
2,70.30945193946488,9,9,2,2
2,5.0267972648309,5,9,2,2
2,1.8727283927801393,6,2,1,2
2,48.165260066941826,6,9,2,1
2,84.73274605228033,17,9,2,2
2,1.8070186246124151,6,2,2,2
2,120.01889155834822,7,4,2,1
2,15.047536910408837,3,4,2,2
2,59.99301833713218,7,2,2,1
2,96.13339082938047,6,4,2,2
2,12.09059734286125,4,9,2,2
2,30.29220312532085,11,2,1,2
2,4.9610874966631755,11,2,1,1
2,36.468921333086925,11,2,1,2
2,1.8070186246124151,6,2,2,2
2,24.70687283106429,11,2,2,2
2,36.60034086942237,11,4,1,2
2,18.464444855130495,18,3,2,2
2,36.008952955912854,9,9,2,2
2,12.123452226945112,18,2,2,2
2,2.168422349534898,14,9,1,2
2,125.86706092527567,6,4,2,2
2,30.259348241236985,3,9,1,2
2,3.1540688720507606,15,4,1,2
2,147.97839791371487,14,9,1,2
2,19.910059754820427,14,2,1,2
2,36.008952955912854,15,9,2,2
2,2.266987001786484,3,4,1,2
2,60.22300252571922,9,3,2,2
2,60.02587322121604,9,4,1,2
2,12.156307111028974,17,4,1,2
2,108.48682724491263,9,3,1,2
2,38.90018275529272,9,6,1,2
2,49.15090658945769,5,9,1,2
2,59.99301833713218,3,6,2,2
2,20.304318363826773,9,9,2,2
2,89.56241401260806,3,4,2,2
2,19.77864021848498,9,9,1,2
2,21.979917452103738,9,9,1,2
2,39.06445717571203,6,2,2,2
2,36.074662724080575,9,7,2,2
2,102.24439926897882,5,9,1,1
2,2.496971190373519,3,3,1,1
2,2.168422349534898,6,2,1,2
2,93.76783917534242,9,3,1,2
2,7.950881948294626,6,2,2,2
2,15.113246678576562,11,9,2,2
2,38.34164972586706,9,10,1,2
2,8.377995441384833,18,4,1,2
2,3.1540688720507606,3,1,1,2
2,96.03482617712889,6,6,2,2
2,59.99301833713218,9,4,2,2
2,8.148011252797799,3,2,2,2
2,37.58598739193823,6,4,1,2
2,16.098893201092427,14,3,1,2
2,12.189161995112835,15,4,2,2
2,24.049775149387052,1,6,1,2
2,72.05076079590957,6,4,1,2
2,24.016920265303188,7,9,1,2
2,26.316762151173535,5,9,1,2
2,27.926651471282778,9,9,1,2
2,9.232222427565247,6,6,2,2
2,84.37134232735785,11,8,1,1
2,20.501447668329945,3,9,2,2
2,151.36245097435267,16,3,1,2
2,41.10145998891148,2,9,1,2
2,24.411178874309535,6,6,2,2
2,12.25487176328056,6,2,1,2
2,64.49413745662129,6,2,2,2
2,93.1764512618329,14,2,2,2
2,29.470831023224296,6,9,1,2
2,2.135567465451036,9,6,2,2
2,27.269553789605535,18,5,2,2
2,17.248814144027598,3,1,1,2
2,3.1212139879668985,17,3,1,2
2,11.992032690609664,2,6,1,1
2,2.069857697283312,3,2,2,2
2,127.70693443397195,14,10,2,2
2,2.069857697283312,18,2,2,1
2,15.047536910408837,6,9,1,2
2,96.00197129304503,11,2,2,2
2,41.1671697570792,13,10,1,2
2,135.62496149818273,2,7,1,2
2,1.6755990882769667,9,9,1,1
2,48.000985646522516,9,9,1,2
2,133.19370007597692,9,4,1,2
2,24.34546910614181,7,4,1,2
2,38.275939957699336,9,9,1,2
2,12.71484014045463,6,2,2,2
2,5.486765642004969,6,2,2,2
2,41.59428325016941,13,9,1,2
2,18.168750898375738,11,4,2,2
2,12.353436415532146,9,2,1,2
2,2.759810263044416,6,9,1,2
2,24.1811946857225,13,3,1,2
2,30.62075196615947,13,8,1,2
2,24.34546910614181,14,9,1,2
2,12.386291299616008,14,4,2,2
2,24.214049569806363,9,4,2,2
2,72.01790591182571,3,4,1,2
2,116.79911291812974,6,6,2,2
2,39.820119509640854,9,3,1,2
2,12.25487176328056,9,4,2,2
2,2.3655516540380708,9,3,2,2
2,10.283578718248835,3,9,2,2
2,34.464773403971336,3,9,1,2
2,22.045627220271463,6,6,2,2
2,24.37832399022567,9,6,2,2
2,10.316433602332697,11,2,2,2
2,84.04279348651923,3,4,2,1
2,24.34546910614181,18,5,2,2
2,12.353436415532146,18,9,1,2
2,12.55056572003532,9,2,1,2
2,5.289636337501797,6,5,2,2
2,10.414998254584283,6,9,1,2
2,7.195219614365798,15,6,1,1
2,5.158216801166349,11,4,2,2
2,8.34514055730097,6,2,2,2
2,24.37832399022567,9,9,1,2
2,107.9940039836547,4,5,2,1
2,162.3359822583626,14,2,1,2
2,2.0370028131994498,6,9,1,2
2,26.875295180599192,4,9,1,2
2,11.170660588513112,3,2,2,2
2,108.97965050617056,6,2,2,2
2,8.213721020965522,6,6,2,2
2,24.411178874309535,3,6,2,2
2,12.156307111028974,13,8,2,2
2,105.89129140228752,14,9,1,2
2,59.99301833713218,18,9,2,2
2,163.74874227396867,11,2,1,1
2,24.082630033470913,3,2,1,2
2,5.81531448284359,4,2,2,2
2,48.263824719193416,15,2,1,2
2,2.0041479291155877,5,9,2,2
2,39.42586090063451,1,9,1,2
2,27.598102630444156,9,9,1,2
2,13.799051315222078,9,9,1,2
2,28.12378077578595,9,6,2,2
2,12.057742458777387,6,9,1,2
2,2.069857697283312,1,4,2,2
2,53.684880593030655,9,3,1,1
2,12.320581531448285,9,9,2,2
2,19.844349986652702,9,9,1,2
2,12.189161995112835,1,4,1,2
2,76.78186410398571,9,10,2,2
2,36.206082260416025,6,4,1,2
2,38.93303763937658,5,9,1,2
2,3.186923756134623,18,9,2,2
2,12.320581531448285,6,1,2,1
2,25.26540586048995,3,9,2,2
2,4.139715394566624,18,5,1,2
2,3.1212139879668985,6,3,1,2
